Year,HadCRUT4 upper limit:number,HadCRUT4 lower limit:number,MEAN,ERA5:number,GISSTEMP:number,NOAA Global Temp:number,Type:text
1850,0.16,-0.27,-0.05,,,,Global annual
1851,0.3,-0.11,0.1,,,,Global annual
1852,0.29,-0.11,0.09,,,,Global annual
1853,0.25,-0.15,0.05,,,,Global annual
1854,0.25,-0.11,0.07,,,,Global annual
1855,0.22,-0.13,0.05,,,,Global annual
1856,0.14,-0.22,-0.04,,,,Global annual
1857,0.03,-0.32,-0.14,,,,Global annual
1858,0.03,-0.32,-0.15,,,,Global annual
1859,0.21,-0.15,0.04,,,,Global annual
1860,0.15,-0.21,-0.02,,,,Global annual
1861,0.12,-0.29,-0.09,,,,Global annual
1862,0.01,-0.42,-0.2,,,,Global annual
1863,0.26,-0.18,0.04,,,,Global annual
1864,0.03,-0.38,-0.17,,,,Global annual
1865,0.26,-0.19,0.04,,,,Global annual
1866,0.28,-0.15,0.07,,,,Global annual
1867,0.21,-0.21,0,,,,Global annual
1868,0.28,-0.13,0.08,,,,Global annual
1869,0.24,-0.13,0.06,,,,Global annual
1870,0.21,-0.13,0.04,,,,Global annual
1871,0.16,-0.19,-0.01,,,,Global annual
1872,0.26,-0.08,0.09,,,,Global annual
1873,0.18,-0.15,0.02,,,,Global annual
1874,0.11,-0.21,-0.05,,,,Global annual
1875,0.08,-0.24,-0.07,,,,Global annual
1876,0.09,-0.22,-0.06,,,,Global annual
1877,0.4,0.09,0.25,,,,Global annual
1878,0.51,0.2,0.36,,,,Global annual
1879,0.24,-0.06,0.09,,,,Global annual
1880,0.24,-0.06,0.09,,0.04,0.08,Global annual
1881,0.27,-0.03,0.12,,0.12,0.13,Global annual
1882,0.25,-0.04,0.11,,0.11,0.12,Global annual
1883,0.16,-0.11,0.02,,0.03,0.05,Global annual
1884,0.04,-0.22,-0.09,,-0.07,-0.02,Global annual
1885,0.07,-0.21,-0.07,,-0.09,-0.03,Global annual
1886,0.08,-0.18,-0.05,,-0.1,-0.01,Global annual
1887,0.03,-0.23,-0.1,,-0.13,-0.06,Global annual
1888,0.14,-0.12,0.01,,0.04,0.04,Global annual
1889,0.28,0.01,0.15,,0.11,0.09,Global annual
1890,0.04,-0.24,-0.1,,-0.15,-0.13,Global annual
1891,0.13,-0.16,-0.01,,-0.01,-0.06,Global annual
1892,0,-0.28,-0.13,,-0.05,-0.11,Global annual
1893,-0.02,-0.3,-0.15,,-0.1,-0.12,Global annual
1894,0.05,-0.23,-0.09,,-0.09,-0.08,Global annual
1895,0.06,-0.21,-0.07,,-0.01,-0.03,Global annual
1896,0.27,-0.01,0.13,,0.11,0.11,Global annual
1897,0.25,-0.03,0.11,,0.1,0.08,Global annual
1898,0.04,-0.23,-0.09,,-0.06,-0.06,Global annual
1899,0.17,-0.11,0.03,,0.03,0.08,Global annual
1900,0.25,-0.02,0.12,,0.13,0.13,Global annual
1901,0.2,-0.08,0.06,,0.06,0.06,Global annual
1902,0.05,-0.22,-0.08,,-0.08,-0.05,Global annual
1903,-0.03,-0.3,-0.16,,-0.17,-0.14,Global annual
1904,-0.07,-0.34,-0.2,,-0.27,-0.22,Global annual
1905,0.07,-0.19,-0.06,,-0.07,-0.09,Global annual
1906,0.17,-0.09,0.04,,-0.01,-0.02,Global annual
1907,-0.02,-0.28,-0.14,,-0.18,-0.17,Global annual
1908,-0.07,-0.32,-0.19,,-0.21,-0.24,Global annual
1909,-0.08,-0.33,-0.2,,-0.25,-0.23,Global annual
1910,-0.05,-0.3,-0.17,,-0.21,-0.18,Global annual
1911,-0.1,-0.35,-0.22,,-0.21,-0.23,Global annual
1912,0,-0.24,-0.12,,-0.14,-0.13,Global annual
1913,0.02,-0.23,-0.1,,-0.13,-0.12,Global annual
1914,0.2,-0.05,0.08,,0.06,0.06,Global annual
1915,0.31,0.04,0.18,,0.1,0.13,Global annual
1916,0.07,-0.2,-0.06,,-0.11,-0.09,Global annual
1917,-0.01,-0.29,-0.15,,-0.22,-0.11,Global annual
1918,0.13,-0.16,-0.01,,-0.06,0,Global annual
1919,0.19,-0.1,0.05,,-0.05,0.01,Global annual
1920,0.21,-0.06,0.07,,-0.03,0,Global annual
1921,0.25,0.01,0.13,,0.05,0.06,Global annual
1922,0.14,-0.1,0.02,,-0.05,-0.02,Global annual
1923,0.16,-0.07,0.04,,-0.02,0,Global annual
1924,0.14,-0.1,0.03,,-0.03,-0.04,Global annual
1925,0.22,-0.02,0.11,,0.02,0.06,Global annual
1926,0.33,0.09,0.21,,0.14,0.15,Global annual
1927,0.22,-0.01,0.11,,0.02,0.06,Global annual
1928,0.22,0,0.11,,0.03,0.04,Global annual
1929,0.08,-0.15,-0.03,,-0.12,-0.09,Global annual
1930,0.3,0.07,0.18,,0.08,0.11,Global annual
1931,0.35,0.12,0.23,,0.12,0.13,Global annual
1932,0.29,0.07,0.18,,0.06,0.09,Global annual
1933,0.15,-0.07,0.05,,-0.08,-0.04,Global annual
1934,0.3,0.08,0.19,,0.08,0.1,Global annual
1935,0.25,0.03,0.14,,0.02,0.07,Global annual
1936,0.27,0.07,0.17,,0.06,0.09,Global annual
1937,0.39,0.19,0.29,,0.18,0.19,Global annual
1938,0.42,0.21,0.31,,0.19,0.17,Global annual
1939,0.37,0.16,0.27,,0.19,0.19,Global annual
1940,0.46,0.21,0.33,,0.33,0.3,Global annual
1941,0.45,0.22,0.34,,0.4,0.39,Global annual
1942,0.41,0.17,0.29,,0.27,0.35,Global annual
1943,0.44,0.19,0.32,,0.29,0.35,Global annual
1944,0.58,0.34,0.46,,0.43,0.49,Global annual
1945,0.47,0.22,0.35,,0.31,0.37,Global annual
1946,0.36,0.14,0.25,,0.15,0.19,Global annual
1947,0.39,0.17,0.28,,0.18,0.14,Global annual
1948,0.39,0.17,0.28,,0.12,0.14,Global annual
1949,0.35,0.14,0.25,,0.12,0.14,Global annual
1950,0.25,0.04,0.15,,0.04,0.03,Global annual
1951,0.37,0.17,0.27,,0.16,0.18,Global annual
1952,0.45,0.25,0.35,,0.23,0.22,Global annual
1953,0.52,0.32,0.42,,0.29,0.29,Global annual
1954,0.29,0.09,0.19,,0.07,0.08,Global annual
1955,0.23,0.04,0.13,,0.08,0.06,Global annual
1956,0.15,-0.04,0.05,,0.02,0,Global annual
1957,0.4,0.22,0.31,,0.26,0.24,Global annual
1958,0.46,0.28,0.37,,0.29,0.31,Global annual
1959,0.42,0.25,0.34,,0.25,0.25,Global annual
1960,0.36,0.19,0.27,,0.2,0.22,Global annual
1961,0.44,0.27,0.36,,0.27,0.27,Global annual
1962,0.42,0.25,0.33,,0.26,0.29,Global annual
1963,0.46,0.28,0.37,,0.29,0.3,Global annual
1964,0.18,0.01,0.1,,0.02,0.05,Global annual
1965,0.27,0.09,0.18,,0.12,0.12,Global annual
1966,0.34,0.17,0.25,,0.17,0.17,Global annual
1967,0.33,0.16,0.25,,0.2,0.18,Global annual
1968,0.29,0.12,0.21,,0.14,0.17,Global annual
1969,0.44,0.27,0.35,,0.29,0.29,Global annual
1970,0.38,0.21,0.29,,0.25,0.24,Global annual
1971,0.22,0.05,0.13,,0.13,0.12,Global annual
1972,0.34,0.17,0.26,,0.23,0.23,Global annual
1973,0.46,0.3,0.38,,0.38,0.36,Global annual
1974,0.19,0.03,0.11,,0.14,0.13,Global annual
1975,0.25,0.09,0.17,,0.2,0.2,Global annual
1976,0.16,0,0.08,,0.11,0.12,Global annual
1977,0.45,0.29,0.37,,0.39,0.4,Global annual
1978,0.34,0.18,0.26,,0.29,0.31,Global annual
1979,0.46,0.3,0.38,0.3779,0.38,0.42,Global annual
1980,0.49,0.33,0.41,0.5091,0.49,0.46,Global annual
1981,0.54,0.38,0.46,0.5425,0.55,0.5,Global annual
1982,0.41,0.25,0.33,0.3433,0.36,0.38,Global annual
1983,0.6,0.43,0.51,0.5381,0.53,0.54,Global annual
1984,0.39,0.22,0.31,0.3255,0.38,0.35,Global annual
1985,0.37,0.21,0.29,0.2851,0.34,0.33,Global annual
1986,0.45,0.28,0.37,0.3739,0.4,0.43,Global annual
1987,0.6,0.43,0.51,0.5293,0.56,0.57,Global annual
1988,0.6,0.44,0.52,0.5614,0.63,0.57,Global annual
1989,0.52,0.35,0.44,0.4431,0.51,0.49,Global annual
1990,0.7,0.53,0.62,0.6745,0.66,0.63,Global annual
1991,0.66,0.49,0.57,0.6197,0.63,0.6,Global annual
1992,0.51,0.34,0.43,0.3877,0.44,0.45,Global annual
1993,0.56,0.38,0.47,0.4335,0.46,0.48,Global annual
1994,0.62,0.44,0.53,0.4698,0.53,0.53,Global annual
1995,0.73,0.56,0.65,0.6476,0.67,0.65,Global annual
1996,0.59,0.41,0.5,0.5176,0.56,0.52,Global annual
1997,0.8,0.62,0.71,0.6398,0.69,0.71,Global annual
1998,0.8,0.63,0.86,0.8284,0.73,0.74,Global annual
1999,0.72,0.54,0.63,0.5596,0.62,0.64,Global annual
2000,0.71,0.53,0.61,0.5545,0.62,0.62,Global annual
2001,0.84,0.66,0.76,0.7145,0.8,0.77,Global annual
2002,0.85,0.67,0.82,0.8112,0.75,0.74,Global annual
2003,0.86,0.68,0.83,0.7982,0.75,0.77,Global annual
2004,0.88,0.7,0.77,0.7369,0.83,0.81,Global annual
2005,0.9,0.72,0.87,0.8991,0.86,0.81,Global annual
2006,0.91,0.73,0.83,0.851,0.84,0.8,Global annual
2007,0.92,0.74,0.81,0.8436,0.83,0.81,Global annual
2008,0.92,0.74,0.72,0.7111,0.83,0.81,Global annual
2009,0.92,0.74,0.83,0.8418,0.85,0.83,Global annual
2010,0.93,0.74,0.88,0.9375,0.86,0.86,Global annual
2011,0.95,0.77,0.75,0.7956,0.84,0.83,Global annual
2012,0.96,0.77,0.79,0.8468,0.89,0.85,Global annual
2013,0.97,0.79,0.83,0.874,0.92,0.89,Global annual
2014,0.99,0.81,0.9,0.9131,0.95,0.94,Global annual
2015,1.01,0.83,1.08,1.0625,1.04,0.98,Global annual
2016,1.09,0.91,1.12,1.2461,1.12,1.04,Global annual
2017,1.17,1,1,1.1506,1.08,1.1,Global annual
2018,1.21,1.03,0.92,1.0708,1.2,1.14,Global annual
1868,0.06,-0.12,-0.02,,,,Global decadal
1878,0.13,-0.02,0.06,,,,Global decadal
1888,0.09,-0.06,0.01,,,,Global decadal
1898,0.05,-0.11,-0.02,,-0.02,-0.03,Global decadal
1908,0.01,-0.14,-0.06,,-0.08,-0.07,Global decadal
1918,-0.01,-0.15,-0.08,,-0.12,-0.09,Global decadal
1928,0.15,0.02,0.09,,0.01,0.03,Global decadal
1938,0.23,0.11,0.17,,0.06,0.08,Global decadal
1948,0.37,0.26,0.32,,0.26,0.29,Global decadal
1958,0.3,0.19,0.25,,0.15,0.15,Global decadal
1968,0.31,0.22,0.27,,0.19,0.2,Global decadal
1978,0.28,0.2,0.24,,0.24,0.24,Global decadal
1988,0.46,0.36,0.41,0.43861,0.46,0.45,Global decadal
1998,0.63,0.52,0.58,0.56617,0.6,0.59,Global decadal
2008,0.83,0.7,0.76,0.74797,0.77,0.76,Global decadal
2018,0.97,0.85,0.91,0.97388,0.96,0.94,Global decadal
